filename,width,height,class,xmin,ymin,xmax,ymax
0945691d8a56a78a873bda69d8a6a3ee,3523,1930,F18,1823,170,1849,203
0945691d8a56a78a873bda69d8a6a3ee,3523,1930,F35,2161,804,2185,836
0945691d8a56a78a873bda69d8a6a3ee,3523,1930,F35,2136,981,2159,1013
0945691d8a56a78a873bda69d8a6a3ee,3523,1930,F35,1863,1861,1886,1894
0945691d8a56a78a873bda69d8a6a3ee,3523,1930,P3,1555,1833,1616,1895
0945691d8a56a78a873bda69d8a6a3ee,3523,1930,P3,1482,1812,1544,1873
0945691d8a56a78a873bda69d8a6a3ee,3523,1930,P3,1401,1610,1469,1673
0945691d8a56a78a873bda69d8a6a3ee,3523,1930,P3,1420,1538,1486,1600
0945691d8a56a78a873bda69d8a6a3ee,3523,1930,C130,1588,1630,1652,1710
0945691d8a56a78a873bda69d8a6a3ee,3523,1930,C130,512,1358,574,1440
0945691d8a56a78a873bda69d8a6a3ee,3523,1930,C130,357,1204,421,1283
0945691d8a56a78a873bda69d8a6a3ee,3523,1930,C130,383,1110,446,1191
0945691d8a56a78a873bda69d8a6a3ee,3523,1930,C130,182,1156,245,1234
0945691d8a56a78a873bda69d8a6a3ee,3523,1930,C130,210,1060,273,1142
