filename,width,height,class,xmin,ymin,xmax,ymax
16331d9ce1b1eb26d76f9c6edb5d28b7,1280,914,F14,101,407,163,453
16331d9ce1b1eb26d76f9c6edb5d28b7,1280,914,F14,210,400,269,443
16331d9ce1b1eb26d76f9c6edb5d28b7,1280,914,F14,329,404,389,449
16331d9ce1b1eb26d76f9c6edb5d28b7,1280,914,F14,404,418,456,458
16331d9ce1b1eb26d76f9c6edb5d28b7,1280,914,F14,495,415,545,451
16331d9ce1b1eb26d76f9c6edb5d28b7,1280,914,F14,535,401,588,441
16331d9ce1b1eb26d76f9c6edb5d28b7,1280,914,F14,596,426,646,464
16331d9ce1b1eb26d76f9c6edb5d28b7,1280,914,F14,609,412,655,441
16331d9ce1b1eb26d76f9c6edb5d28b7,1280,914,F14,657,409,702,446
16331d9ce1b1eb26d76f9c6edb5d28b7,1280,914,F14,697,400,744,437
16331d9ce1b1eb26d76f9c6edb5d28b7,1280,914,F14,743,419,789,456
16331d9ce1b1eb26d76f9c6edb5d28b7,1280,914,F14,755,350,811,394
16331d9ce1b1eb26d76f9c6edb5d28b7,1280,914,F14,807,344,860,389
16331d9ce1b1eb26d76f9c6edb5d28b7,1280,914,F14,1206,494,1266,532
16331d9ce1b1eb26d76f9c6edb5d28b7,1280,914,F14,1070,476,1127,514
16331d9ce1b1eb26d76f9c6edb5d28b7,1280,914,F14,1104,468,1158,506
16331d9ce1b1eb26d76f9c6edb5d28b7,1280,914,F14,984,441,1035,481
16331d9ce1b1eb26d76f9c6edb5d28b7,1280,914,F14,950,442,1002,481
16331d9ce1b1eb26d76f9c6edb5d28b7,1280,914,F14,898,435,946,473
16331d9ce1b1eb26d76f9c6edb5d28b7,1280,914,F14,843,443,894,479
16331d9ce1b1eb26d76f9c6edb5d28b7,1280,914,F14,915,356,970,401
16331d9ce1b1eb26d76f9c6edb5d28b7,1280,914,F14,876,308,935,355
