filename,width,height,class,xmin,ymin,xmax,ymax
1deecbebb637c7cfcb1ed6ef993243c1,1500,969,JAS39,145,78,241,148
1deecbebb637c7cfcb1ed6ef993243c1,1500,969,JAS39,327,308,420,374
1deecbebb637c7cfcb1ed6ef993243c1,1500,969,JAS39,478,492,566,554
1deecbebb637c7cfcb1ed6ef993243c1,1500,969,JAS39,616,672,704,731
1deecbebb637c7cfcb1ed6ef993243c1,1500,969,JAS39,777,872,860,929
1deecbebb637c7cfcb1ed6ef993243c1,1500,969,JAS39,1337,700,1427,761
1deecbebb637c7cfcb1ed6ef993243c1,1500,969,JAS39,994,522,1082,585
1deecbebb637c7cfcb1ed6ef993243c1,1500,969,JAS39,460,100,555,169
1deecbebb637c7cfcb1ed6ef993243c1,1500,969,JAS39,684,109,777,179
1deecbebb637c7cfcb1ed6ef993243c1,1500,969,JAS39,939,126,1033,195
1deecbebb637c7cfcb1ed6ef993243c1,1500,969,JAS39,1176,146,1271,214
