filename,width,height,class,xmin,ymin,xmax,ymax
1e072f2707b6f4d5816f926338af3d57,4096,2726,Rafale,488,1139,664,1282
1e072f2707b6f4d5816f926338af3d57,4096,2726,Rafale,703,1130,872,1283
1e072f2707b6f4d5816f926338af3d57,4096,2726,Rafale,897,1119,1056,1279
1e072f2707b6f4d5816f926338af3d57,4096,2726,Rafale,3268,1371,3406,1541
1e072f2707b6f4d5816f926338af3d57,4096,2726,Rafale,3454,1389,3595,1550
1e072f2707b6f4d5816f926338af3d57,4096,2726,Rafale,3472,1255,3672,1382
1e072f2707b6f4d5816f926338af3d57,4096,2726,Rafale,3443,1123,3640,1245
1e072f2707b6f4d5816f926338af3d57,4096,2726,Rafale,3337,1012,3480,1156
1e072f2707b6f4d5816f926338af3d57,4096,2726,Rafale,3182,960,3334,1095
1e072f2707b6f4d5816f926338af3d57,4096,2726,Rafale,3032,963,3164,1120
1e072f2707b6f4d5816f926338af3d57,4096,2726,Rafale,2859,917,2983,1105
1e072f2707b6f4d5816f926338af3d57,4096,2726,Rafale,2630,972,2760,1160
1e072f2707b6f4d5816f926338af3d57,4096,2726,Rafale,2486,975,2615,1166
1e072f2707b6f4d5816f926338af3d57,4096,2726,Rafale,2220,980,2348,1172
1e072f2707b6f4d5816f926338af3d57,4096,2726,E2,2014,1338,2245,1469
