filename,width,height,class,xmin,ymin,xmax,ymax
1e3645fab0dae766241d009199659fdf,1200,800,F18,30,341,156,371
1e3645fab0dae766241d009199659fdf,1200,800,F18,154,312,269,339
1e3645fab0dae766241d009199659fdf,1200,800,F18,258,342,363,369
1e3645fab0dae766241d009199659fdf,1200,800,F18,258,307,377,335
1e3645fab0dae766241d009199659fdf,1200,800,F18,477,309,593,336
1e3645fab0dae766241d009199659fdf,1200,800,F18,665,296,781,321
1e3645fab0dae766241d009199659fdf,1200,800,F18,697,329,836,361
1e3645fab0dae766241d009199659fdf,1200,800,F18,901,291,1037,323
1e3645fab0dae766241d009199659fdf,1200,800,F18,882,252,985,278
1e3645fab0dae766241d009199659fdf,1200,800,F18,963,262,1094,291
