filename,width,height,class,xmin,ymin,xmax,ymax
267e711263ea09728dc70c59661bf7d5,2494,1666,F15,1771,1258,1997,1388
267e711263ea09728dc70c59661bf7d5,2494,1666,F15,1647,1364,1873,1505
267e711263ea09728dc70c59661bf7d5,2494,1666,F15,1513,1468,1740,1606
267e711263ea09728dc70c59661bf7d5,2494,1666,F15,870,1031,1086,1174
267e711263ea09728dc70c59661bf7d5,2494,1666,F15,1013,921,1230,1061
267e711263ea09728dc70c59661bf7d5,2494,1666,F15,1148,808,1362,946
267e711263ea09728dc70c59661bf7d5,2494,1666,F15,1287,704,1500,841
267e711263ea09728dc70c59661bf7d5,2494,1666,F15,1428,597,1633,732
267e711263ea09728dc70c59661bf7d5,2494,1666,F15,1552,493,1761,629
267e711263ea09728dc70c59661bf7d5,2494,1666,F15,166,653,369,774
267e711263ea09728dc70c59661bf7d5,2494,1666,F15,312,551,513,671
267e711263ea09728dc70c59661bf7d5,2494,1666,F15,453,450,652,566
267e711263ea09728dc70c59661bf7d5,2494,1666,F15,591,352,789,469
267e711263ea09728dc70c59661bf7d5,2494,1666,F15,860,154,1055,268
