filename,width,height,class,xmin,ymin,xmax,ymax
2a0181255cd9ea104321e02e31b48e69,1192,1606,C130,118,838,890,1129
2a0181255cd9ea104321e02e31b48e69,1192,1606,C130,210,722,892,969
2a0181255cd9ea104321e02e31b48e69,1192,1606,C130,300,611,901,826
2a0181255cd9ea104321e02e31b48e69,1192,1606,C130,368,531,909,715
2a0181255cd9ea104321e02e31b48e69,1192,1606,C130,421,459,904,620
2a0181255cd9ea104321e02e31b48e69,1192,1606,C130,454,411,900,554
2a0181255cd9ea104321e02e31b48e69,1192,1606,C130,497,359,904,489
2a0181255cd9ea104321e02e31b48e69,1192,1606,C130,529,317,904,431
2a0181255cd9ea104321e02e31b48e69,1192,1606,C130,560,272,904,380
2a0181255cd9ea104321e02e31b48e69,1192,1606,C130,592,229,905,329
