filename,width,height,class,xmin,ymin,xmax,ymax
3aba03b8a5fbc3c3d62e4e3e31acb78f,666,812,F22,54,671,125,790
3aba03b8a5fbc3c3d62e4e3e31acb78f,666,812,F22,48,522,118,640
3aba03b8a5fbc3c3d62e4e3e31acb78f,666,812,F22,46,368,117,481
3aba03b8a5fbc3c3d62e4e3e31acb78f,666,812,F22,60,240,131,340
3aba03b8a5fbc3c3d62e4e3e31acb78f,666,812,F22,90,138,163,216
3aba03b8a5fbc3c3d62e4e3e31acb78f,666,812,F22,144,81,225,145
3aba03b8a5fbc3c3d62e4e3e31acb78f,666,812,F22,209,49,299,93
3aba03b8a5fbc3c3d62e4e3e31acb78f,666,812,F22,294,40,383,74
3aba03b8a5fbc3c3d62e4e3e31acb78f,666,812,F22,375,53,468,88
3aba03b8a5fbc3c3d62e4e3e31acb78f,666,812,F22,436,87,528,152
3aba03b8a5fbc3c3d62e4e3e31acb78f,666,812,F22,499,153,577,254
3aba03b8a5fbc3c3d62e4e3e31acb78f,666,812,F22,542,240,613,354
3aba03b8a5fbc3c3d62e4e3e31acb78f,666,812,F22,558,342,630,442
3aba03b8a5fbc3c3d62e4e3e31acb78f,666,812,F22,542,438,615,509
3aba03b8a5fbc3c3d62e4e3e31acb78f,666,812,F22,483,496,555,546
3aba03b8a5fbc3c3d62e4e3e31acb78f,666,812,F22,401,528,476,568
3aba03b8a5fbc3c3d62e4e3e31acb78f,666,812,F22,320,530,397,566
