filename,width,height,class,xmin,ymin,xmax,ymax
3c2af46161e0b1e83996c11319ea3aa9,1024,1024,F18,1,743,88,971
3c2af46161e0b1e83996c11319ea3aa9,1024,1024,F18,59,688,229,890
3c2af46161e0b1e83996c11319ea3aa9,1024,1024,F18,149,650,356,803
3c2af46161e0b1e83996c11319ea3aa9,1024,1024,F18,327,645,535,800
3c2af46161e0b1e83996c11319ea3aa9,1024,1024,F18,516,651,731,792
3c2af46161e0b1e83996c11319ea3aa9,1024,1024,F18,691,646,908,785
3c2af46161e0b1e83996c11319ea3aa9,1024,1024,F18,876,638,1024,767
3c2af46161e0b1e83996c11319ea3aa9,1024,1024,F18,845,502,1024,629
3c2af46161e0b1e83996c11319ea3aa9,1024,1024,F18,645,498,866,626
3c2af46161e0b1e83996c11319ea3aa9,1024,1024,F18,438,496,653,627
3c2af46161e0b1e83996c11319ea3aa9,1024,1024,F18,257,483,462,631
3c2af46161e0b1e83996c11319ea3aa9,1024,1024,F18,1,401,168,531
3c2af46161e0b1e83996c11319ea3aa9,1024,1024,F18,56,243,275,367
3c2af46161e0b1e83996c11319ea3aa9,1024,1024,F18,142,377,343,534
3c2af46161e0b1e83996c11319ea3aa9,1024,1024,F18,337,344,539,491
3c2af46161e0b1e83996c11319ea3aa9,1024,1024,F18,491,347,693,497
3c2af46161e0b1e83996c11319ea3aa9,1024,1024,F18,650,379,863,498
3c2af46161e0b1e83996c11319ea3aa9,1024,1024,F18,824,380,1023,510
