filename,width,height,class,xmin,ymin,xmax,ymax
41d92d5b784c15fb9cee1daa59b9498e,2159,1052,F117,545,249,811,335
41d92d5b784c15fb9cee1daa59b9498e,2159,1052,F117,814,233,1044,303
41d92d5b784c15fb9cee1daa59b9498e,2159,1052,F117,742,257,1056,353
41d92d5b784c15fb9cee1daa59b9498e,2159,1052,F117,1010,240,1232,302
41d92d5b784c15fb9cee1daa59b9498e,2159,1052,F117,961,280,1275,372
41d92d5b784c15fb9cee1daa59b9498e,2159,1052,F117,1197,234,1429,305
41d92d5b784c15fb9cee1daa59b9498e,2159,1052,F117,1208,259,1499,354
41d92d5b784c15fb9cee1daa59b9498e,2159,1052,F117,1423,249,1688,334
41d92d5b784c15fb9cee1daa59b9498e,2159,1052,F117,1250,307,1641,439
41d92d5b784c15fb9cee1daa59b9498e,2159,1052,F117,1512,289,1857,404
41d92d5b784c15fb9cee1daa59b9498e,2159,1052,F117,362,286,712,406
41d92d5b784c15fb9cee1daa59b9498e,2159,1052,F117,596,307,985,442
41d92d5b784c15fb9cee1daa59b9498e,2159,1052,F117,891,333,1332,488
41d92d5b784c15fb9cee1daa59b9498e,2159,1052,F117,1674,358,2159,546
41d92d5b784c15fb9cee1daa59b9498e,2159,1052,F117,1291,407,1884,629
41d92d5b784c15fb9cee1daa59b9498e,2159,1052,F117,27,365,533,544
41d92d5b784c15fb9cee1daa59b9498e,2159,1052,F117,324,411,919,627
41d92d5b784c15fb9cee1daa59b9498e,2159,1052,F117,742,466,1460,744
