filename,width,height,class,xmin,ymin,xmax,ymax
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,2116,148,2182,192
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,1604,503,1676,553
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,1820,815,1895,871
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,1763,785,1836,840
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,1595,696,1667,751
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,1541,668,1615,723
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,1433,613,1507,667
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,1379,587,1455,640
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,1593,907,1664,957
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,1262,732,1335,779
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,1210,703,1281,751
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,1293,969,1372,1026
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,1129,877,1208,934
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,1022,817,1103,874
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,842,943,916,994
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,949,1006,1023,1055
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,1005,1035,1079,1085
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,1059,1068,1134,1118
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,1113,1100,1188,1151
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,1222,1163,1301,1217
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,1340,1226,1414,1281
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,1394,1261,1472,1316
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,1196,1400,1277,1458
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,1138,1366,1217,1425
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,1079,1332,1160,1392
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,1024,1299,1102,1357
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,968,1265,1045,1323
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,912,1232,992,1289
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,747,1134,824,1191
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,693,1101,773,1158
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,620,1299,707,1359
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,562,1264,645,1324
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,644,1604,732,1666
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,586,1562,674,1626
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,463,1486,547,1545
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,344,1406,430,1468
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,287,1368,372,1430
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,187,1577,274,1643
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,131,1542,220,1606
437b4dd0d7b76ce3190c7d499ee07ed4,2505,1690,F18,26,1471,117,1533
