filename,width,height,class,xmin,ymin,xmax,ymax
483c0e5f489166bd7981b1c2698aff2b,1920,1372,F16,32,700,215,788
483c0e5f489166bd7981b1c2698aff2b,1920,1372,F16,193,707,391,810
483c0e5f489166bd7981b1c2698aff2b,1920,1372,F16,412,719,628,835
483c0e5f489166bd7981b1c2698aff2b,1920,1372,F16,686,733,927,870
483c0e5f489166bd7981b1c2698aff2b,1920,1372,F16,1552,691,1816,774
483c0e5f489166bd7981b1c2698aff2b,1920,1372,F16,1253,687,1486,762
483c0e5f489166bd7981b1c2698aff2b,1920,1372,F16,1014,682,1221,750
483c0e5f489166bd7981b1c2698aff2b,1920,1372,F16,816,676,1004,739
483c0e5f489166bd7981b1c2698aff2b,1920,1372,F16,647,670,819,718
483c0e5f489166bd7981b1c2698aff2b,1920,1372,F16,387,664,535,715
483c0e5f489166bd7981b1c2698aff2b,1920,1372,F16,279,660,400,708
483c0e5f489166bd7981b1c2698aff2b,1920,1372,F35,1623,663,1769,726
483c0e5f489166bd7981b1c2698aff2b,1920,1372,F35,1447,662,1589,722
483c0e5f489166bd7981b1c2698aff2b,1920,1372,F35,1312,662,1450,719
483c0e5f489166bd7981b1c2698aff2b,1920,1372,F35,1181,662,1312,707
483c0e5f489166bd7981b1c2698aff2b,1920,1372,F35,1057,663,1188,711
483c0e5f489166bd7981b1c2698aff2b,1920,1372,F35,943,658,1061,707
483c0e5f489166bd7981b1c2698aff2b,1920,1372,F35,854,657,961,702
483c0e5f489166bd7981b1c2698aff2b,1920,1372,F35,751,654,871,700
