filename,width,height,class,xmin,ymin,xmax,ymax
4ef3fc177420d40c4a714f74fc370d41,2048,1365,V22,220,1053,288,1091
4ef3fc177420d40c4a714f74fc370d41,2048,1365,V22,287,968,369,1009
4ef3fc177420d40c4a714f74fc370d41,2048,1365,V22,359,883,447,925
4ef3fc177420d40c4a714f74fc370d41,2048,1365,V22,459,767,542,816
4ef3fc177420d40c4a714f74fc370d41,2048,1365,V22,594,616,699,668
4ef3fc177420d40c4a714f74fc370d41,2048,1365,V22,792,434,907,501
4ef3fc177420d40c4a714f74fc370d41,2048,1365,V22,952,247,1076,315
4ef3fc177420d40c4a714f74fc370d41,2048,1365,V22,1110,342,1212,408
4ef3fc177420d40c4a714f74fc370d41,2048,1365,V22,1294,523,1403,577
4ef3fc177420d40c4a714f74fc370d41,2048,1365,V22,1518,693,1611,746
4ef3fc177420d40c4a714f74fc370d41,2048,1365,V22,1679,837,1776,885
4ef3fc177420d40c4a714f74fc370d41,2048,1365,V22,1812,959,1900,1003
