filename,width,height,class,xmin,ymin,xmax,ymax
587f963ca42ee9200a5f4a36836bbea6,3529,1885,Mig31,2829,1115,2903,1171
587f963ca42ee9200a5f4a36836bbea6,3529,1885,Mig31,2770,1228,2852,1279
587f963ca42ee9200a5f4a36836bbea6,3529,1885,Mig31,2643,1132,2694,1208
587f963ca42ee9200a5f4a36836bbea6,3529,1885,Mig31,2578,1165,2639,1241
587f963ca42ee9200a5f4a36836bbea6,3529,1885,Mig31,2772,1503,2852,1553
587f963ca42ee9200a5f4a36836bbea6,3529,1885,Mig31,2585,1431,2664,1480
587f963ca42ee9200a5f4a36836bbea6,3529,1885,Mig31,2529,1516,2581,1592
587f963ca42ee9200a5f4a36836bbea6,3529,1885,Mig31,2333,1244,2413,1294
587f963ca42ee9200a5f4a36836bbea6,3529,1885,Mig31,2194,1088,2250,1166
587f963ca42ee9200a5f4a36836bbea6,3529,1885,Mig31,2116,1034,2172,1113
587f963ca42ee9200a5f4a36836bbea6,3529,1885,Mig31,2032,978,2086,1055
587f963ca42ee9200a5f4a36836bbea6,3529,1885,Mig31,501,443,571,511
587f963ca42ee9200a5f4a36836bbea6,3529,1885,Mig31,562,263,628,333
587f963ca42ee9200a5f4a36836bbea6,3529,1885,Mig31,509,217,577,292
587f963ca42ee9200a5f4a36836bbea6,3529,1885,Mig31,84,108,147,184
