filename,width,height,class,xmin,ymin,xmax,ymax
5b9e86497af8f98f0d190c748d3605d1,1022,1536,F18,1,903,294,1364
5b9e86497af8f98f0d190c748d3605d1,1022,1536,F18,70,771,651,1077
5b9e86497af8f98f0d190c748d3605d1,1022,1536,F18,358,698,867,911
5b9e86497af8f98f0d190c748d3605d1,1022,1536,F18,552,650,1000,820
5b9e86497af8f98f0d190c748d3605d1,1022,1536,F18,707,618,1022,757
5b9e86497af8f98f0d190c748d3605d1,1022,1536,F18,809,591,1022,710
5b9e86497af8f98f0d190c748d3605d1,1022,1536,F18,947,504,1022,564
5b9e86497af8f98f0d190c748d3605d1,1022,1536,F18,761,504,938,565
5b9e86497af8f98f0d190c748d3605d1,1022,1536,F18,695,512,867,577
5b9e86497af8f98f0d190c748d3605d1,1022,1536,F18,623,520,802,590
5b9e86497af8f98f0d190c748d3605d1,1022,1536,F18,532,530,732,607
5b9e86497af8f98f0d190c748d3605d1,1022,1536,F18,438,542,651,628
5b9e86497af8f98f0d190c748d3605d1,1022,1536,F18,325,557,571,653
5b9e86497af8f98f0d190c748d3605d1,1022,1536,F18,102,585,354,700
