filename,width,height,class,xmin,ymin,xmax,ymax
5baa8b411d4d34c9e46dd92a49859160,1600,900,F35,65,567,499,790
5baa8b411d4d34c9e46dd92a49859160,1600,900,F35,467,502,854,697
5baa8b411d4d34c9e46dd92a49859160,1600,900,F35,924,533,1337,741
5baa8b411d4d34c9e46dd92a49859160,1600,900,F35,1199,475,1564,658
5baa8b411d4d34c9e46dd92a49859160,1600,900,F35,274,326,517,439
5baa8b411d4d34c9e46dd92a49859160,1600,900,F35,490,300,716,404
5baa8b411d4d34c9e46dd92a49859160,1600,900,F35,768,313,1005,422
5baa8b411d4d34c9e46dd92a49859160,1600,900,F35,938,294,1159,393
5baa8b411d4d34c9e46dd92a49859160,1600,900,F35,826,214,985,285
5baa8b411d4d34c9e46dd92a49859160,1600,900,F35,702,224,868,298
5baa8b411d4d34c9e46dd92a49859160,1600,900,F35,500,218,662,293
5baa8b411d4d34c9e46dd92a49859160,1600,900,F35,353,230,523,307
5baa8b411d4d34c9e46dd92a49859160,1600,900,F35,765,166,889,221
5baa8b411d4d34c9e46dd92a49859160,1600,900,F35,663,174,794,229
5baa8b411d4d34c9e46dd92a49859160,1600,900,F35,509,170,629,225
5baa8b411d4d34c9e46dd92a49859160,1600,900,F35,395,178,523,235
5baa8b411d4d34c9e46dd92a49859160,1600,900,F35,417,145,523,191
5baa8b411d4d34c9e46dd92a49859160,1600,900,F35,519,139,621,184
5baa8b411d4d34c9e46dd92a49859160,1600,900,F35,638,141,743,186
5baa8b411d4d34c9e46dd92a49859160,1600,900,F35,725,138,827,182
5baa8b411d4d34c9e46dd92a49859160,1600,900,F35,429,124,519,162
5baa8b411d4d34c9e46dd92a49859160,1600,900,F35,523,120,613,155
5baa8b411d4d34c9e46dd92a49859160,1600,900,F35,622,119,711,159
5baa8b411d4d34c9e46dd92a49859160,1600,900,F35,671,101,743,132
5baa8b411d4d34c9e46dd92a49859160,1600,900,F35,661,93,720,117
5baa8b411d4d34c9e46dd92a49859160,1600,900,F35,654,84,704,101
5baa8b411d4d34c9e46dd92a49859160,1600,900,F35,612,107,678,134
5baa8b411d4d34c9e46dd92a49859160,1600,900,F35,605,93,663,116
5baa8b411d4d34c9e46dd92a49859160,1600,900,F35,600,85,653,105
5baa8b411d4d34c9e46dd92a49859160,1600,900,F35,525,105,604,133
5baa8b411d4d34c9e46dd92a49859160,1600,900,F35,528,94,592,115
5baa8b411d4d34c9e46dd92a49859160,1600,900,F35,531,84,586,102
5baa8b411d4d34c9e46dd92a49859160,1600,900,F35,443,105,518,137
5baa8b411d4d34c9e46dd92a49859160,1600,900,F35,451,96,518,120
5baa8b411d4d34c9e46dd92a49859160,1600,900,F35,461,85,521,105
