filename,width,height,class,xmin,ymin,xmax,ymax
5e06971059ca1a1eb651f178d2cbc771,2009,1493,B52,364,214,668,479
5e06971059ca1a1eb651f178d2cbc771,2009,1493,B52,687,210,989,475
5e06971059ca1a1eb651f178d2cbc771,2009,1493,B52,1010,204,1309,470
5e06971059ca1a1eb651f178d2cbc771,2009,1493,B52,1338,202,1639,466
5e06971059ca1a1eb651f178d2cbc771,2009,1493,B52,371,1035,675,1299
5e06971059ca1a1eb651f178d2cbc771,2009,1493,B52,697,1029,998,1296
5e06971059ca1a1eb651f178d2cbc771,2009,1493,B52,1022,1027,1323,1293
5e06971059ca1a1eb651f178d2cbc771,2009,1493,B52,1339,1023,1641,1288
5e06971059ca1a1eb651f178d2cbc771,2009,1493,B52,524,807,827,1071
5e06971059ca1a1eb651f178d2cbc771,2009,1493,B52,848,805,1149,1068
5e06971059ca1a1eb651f178d2cbc771,2009,1493,B52,1175,799,1479,1063
