filename,width,height,class,xmin,ymin,xmax,ymax
5fc7d380b3acdd12237259b8bcad190d,8256,4644,F15,5578,570,5849,706
5fc7d380b3acdd12237259b8bcad190d,8256,4644,F15,4995,802,5278,948
5fc7d380b3acdd12237259b8bcad190d,8256,4644,F15,6983,1807,7352,2046
5fc7d380b3acdd12237259b8bcad190d,8256,4644,F15,6588,1881,6965,2130
5fc7d380b3acdd12237259b8bcad190d,8256,4644,F18,969,2056,1385,2284
5fc7d380b3acdd12237259b8bcad190d,8256,4644,F18,535,2083,945,2304
5fc7d380b3acdd12237259b8bcad190d,8256,4644,F35,1179,1166,1444,1293
5fc7d380b3acdd12237259b8bcad190d,8256,4644,F35,1601,1164,1868,1294
5fc7d380b3acdd12237259b8bcad190d,8256,4644,B1,3436,2782,5011,3714
5fc7d380b3acdd12237259b8bcad190d,8256,4644,B1,5329,1789,6495,2343
5fc7d380b3acdd12237259b8bcad190d,8256,4644,B1,1729,1789,2933,2355
