filename,width,height,class,xmin,ymin,xmax,ymax
690c6363f358899eb59efb0ee9ac0ad7,1600,1070,C130,1519,456,1600,490
690c6363f358899eb59efb0ee9ac0ad7,1600,1070,C130,1353,465,1448,499
690c6363f358899eb59efb0ee9ac0ad7,1600,1070,C130,1199,472,1303,509
690c6363f358899eb59efb0ee9ac0ad7,1600,1070,C130,1027,482,1129,520
690c6363f358899eb59efb0ee9ac0ad7,1600,1070,C130,795,495,894,535
690c6363f358899eb59efb0ee9ac0ad7,1600,1070,C130,563,508,668,549
690c6363f358899eb59efb0ee9ac0ad7,1600,1070,C130,300,524,413,566
690c6363f358899eb59efb0ee9ac0ad7,1600,1070,C130,89,535,209,580
690c6363f358899eb59efb0ee9ac0ad7,1600,1070,F4,231,779,410,881
690c6363f358899eb59efb0ee9ac0ad7,1600,1070,F4,574,746,724,839
690c6363f358899eb59efb0ee9ac0ad7,1600,1070,F4,859,717,1009,802
690c6363f358899eb59efb0ee9ac0ad7,1600,1070,F4,1116,691,1257,770
690c6363f358899eb59efb0ee9ac0ad7,1600,1070,F4,1357,666,1501,737
690c6363f358899eb59efb0ee9ac0ad7,1600,1070,F4,1286,773,1600,857
690c6363f358899eb59efb0ee9ac0ad7,1600,1070,F4,963,815,1288,905
690c6363f358899eb59efb0ee9ac0ad7,1600,1070,F4,568,867,918,968
