filename,width,height,class,xmin,ymin,xmax,ymax
6a4b9373ea41e06a42b63c1c361ed3bc,2388,1552,F15,1435,698,1619,841
6a4b9373ea41e06a42b63c1c361ed3bc,2388,1552,F15,1331,547,1514,692
6a4b9373ea41e06a42b63c1c361ed3bc,2388,1552,F15,1230,401,1414,546
6a4b9373ea41e06a42b63c1c361ed3bc,2388,1552,F15,1128,249,1313,393
6a4b9373ea41e06a42b63c1c361ed3bc,2388,1552,F15,555,621,738,767
6a4b9373ea41e06a42b63c1c361ed3bc,2388,1552,F15,655,772,838,910
6a4b9373ea41e06a42b63c1c361ed3bc,2388,1552,F15,757,923,944,1070
6a4b9373ea41e06a42b63c1c361ed3bc,2388,1552,F15,863,1067,1050,1214
6a4b9373ea41e06a42b63c1c361ed3bc,2388,1552,F15,966,1222,1150,1364
6a4b9373ea41e06a42b63c1c361ed3bc,2388,1552,F15,1071,1371,1254,1514
6a4b9373ea41e06a42b63c1c361ed3bc,2388,1552,F15,2151,624,2335,770
6a4b9373ea41e06a42b63c1c361ed3bc,2388,1552,F15,2053,473,2233,619
6a4b9373ea41e06a42b63c1c361ed3bc,2388,1552,F15,1945,327,2130,472
6a4b9373ea41e06a42b63c1c361ed3bc,2388,1552,F15,1845,174,2027,325
6a4b9373ea41e06a42b63c1c361ed3bc,2388,1552,F15,1740,27,1925,176
