filename,width,height,class,xmin,ymin,xmax,ymax
72714ebd96f4516148c797f6cd37f558,4096,2757,Rafale,399,2162,1093,2505
72714ebd96f4516148c797f6cd37f558,4096,2757,Rafale,1305,1836,2016,2184
72714ebd96f4516148c797f6cd37f558,4096,2757,Rafale,1027,1479,1691,1795
72714ebd96f4516148c797f6cd37f558,4096,2757,Rafale,2155,1448,2875,1780
72714ebd96f4516148c797f6cd37f558,4096,2757,Rafale,1841,1162,2514,1467
72714ebd96f4516148c797f6cd37f558,4096,2757,Rafale,1606,823,2241,1113
72714ebd96f4516148c797f6cd37f558,4096,2757,Rafale,2873,1109,3602,1432
72714ebd96f4516148c797f6cd37f558,4096,2757,Rafale,2590,797,3276,1103
72714ebd96f4516148c797f6cd37f558,4096,2757,Rafale,2344,492,2987,774
72714ebd96f4516148c797f6cd37f558,4096,2757,Rafale,2184,198,2786,460
