filename,width,height,class,xmin,ymin,xmax,ymax
76a1a6a4939eb0612353800db0bf1dcb,4096,2731,Rafale,944,924,1125,993
76a1a6a4939eb0612353800db0bf1dcb,4096,2731,Rafale,920,1130,1369,1277
76a1a6a4939eb0612353800db0bf1dcb,4096,2731,Rafale,1088,1153,1569,1305
76a1a6a4939eb0612353800db0bf1dcb,4096,2731,Rafale,1259,1186,1775,1357
76a1a6a4939eb0612353800db0bf1dcb,4096,2731,Rafale,1452,1223,1999,1400
76a1a6a4939eb0612353800db0bf1dcb,4096,2731,Rafale,1619,1270,2213,1479
76a1a6a4939eb0612353800db0bf1dcb,4096,2731,Rafale,1816,1376,2341,1609
76a1a6a4939eb0612353800db0bf1dcb,4096,2731,Rafale,2594,1376,3213,1596
76a1a6a4939eb0612353800db0bf1dcb,4096,2731,Rafale,3016,1339,3642,1551
76a1a6a4939eb0612353800db0bf1dcb,4096,2731,Rafale,2944,1259,3647,1427
76a1a6a4939eb0612353800db0bf1dcb,4096,2731,Rafale,2829,1204,3419,1361
76a1a6a4939eb0612353800db0bf1dcb,4096,2731,Rafale,2544,1151,3088,1319
76a1a6a4939eb0612353800db0bf1dcb,4096,2731,Rafale,2256,1087,2656,1242
76a1a6a4939eb0612353800db0bf1dcb,4096,2731,Rafale,1924,1053,2292,1186
76a1a6a4939eb0612353800db0bf1dcb,4096,2731,E2,1686,1008,2115,1152
