filename,width,height,class,xmin,ymin,xmax,ymax
77dfced1825b809c362c22560bb5fe36,1153,649,J20,73,112,166,148
77dfced1825b809c362c22560bb5fe36,1153,649,J20,307,174,399,208
77dfced1825b809c362c22560bb5fe36,1153,649,J20,551,234,643,269
77dfced1825b809c362c22560bb5fe36,1153,649,J20,546,329,624,359
77dfced1825b809c362c22560bb5fe36,1153,649,J20,1031,419,1100,446
77dfced1825b809c362c22560bb5fe36,1153,649,J20,925,435,1001,465
77dfced1825b809c362c22560bb5fe36,1153,649,J20,745,423,813,448
77dfced1825b809c362c22560bb5fe36,1153,649,J20,728,384,806,413
77dfced1825b809c362c22560bb5fe36,1153,649,J20,867,378,935,405
77dfced1825b809c362c22560bb5fe36,1153,649,J20,614,466,683,493
77dfced1825b809c362c22560bb5fe36,1153,649,J20,401,383,480,412
77dfced1825b809c362c22560bb5fe36,1153,649,J20,261,435,337,465
