filename,width,height,class,xmin,ymin,xmax,ymax
7a18e653a8b54ed603ced62780488ecc,1280,720,F15,284,554,447,713
7a18e653a8b54ed603ced62780488ecc,1280,720,F15,492,556,651,715
7a18e653a8b54ed603ced62780488ecc,1280,720,F15,588,482,732,618
7a18e653a8b54ed603ced62780488ecc,1280,720,F15,774,555,923,710
7a18e653a8b54ed603ced62780488ecc,1280,720,F15,164,169,259,233
7a18e653a8b54ed603ced62780488ecc,1280,720,F15,285,171,379,235
7a18e653a8b54ed603ced62780488ecc,1280,720,F15,355,148,443,205
7a18e653a8b54ed603ced62780488ecc,1280,720,F15,449,176,540,239
7a18e653a8b54ed603ced62780488ecc,1280,720,F15,117,8,184,45
7a18e653a8b54ed603ced62780488ecc,1280,720,F15,199,9,263,47
7a18e653a8b54ed603ced62780488ecc,1280,720,F15,251,1,313,33
7a18e653a8b54ed603ced62780488ecc,1280,720,F15,316,14,382,51
