filename,width,height,class,xmin,ymin,xmax,ymax
7a4f0097e3fa433b15ac29c8412fc551,1280,698,F15,86,515,159,622
7a4f0097e3fa433b15ac29c8412fc551,1280,698,F15,193,518,264,624
7a4f0097e3fa433b15ac29c8412fc551,1280,698,F15,401,519,475,625
7a4f0097e3fa433b15ac29c8412fc551,1280,698,F15,504,520,578,624
7a4f0097e3fa433b15ac29c8412fc551,1280,698,F15,607,520,682,620
7a4f0097e3fa433b15ac29c8412fc551,1280,698,F15,705,522,780,626
7a4f0097e3fa433b15ac29c8412fc551,1280,698,F15,814,525,888,627
7a4f0097e3fa433b15ac29c8412fc551,1280,698,F15,915,525,990,630
7a4f0097e3fa433b15ac29c8412fc551,1280,698,F15,1021,523,1094,630
7a4f0097e3fa433b15ac29c8412fc551,1280,698,F15,544,188,634,274
7a4f0097e3fa433b15ac29c8412fc551,1280,698,F15,769,190,859,279
7a4f0097e3fa433b15ac29c8412fc551,1280,698,F15,1143,191,1228,288
7a4f0097e3fa433b15ac29c8412fc551,1280,698,F15,1070,64,1168,142
7a4f0097e3fa433b15ac29c8412fc551,1280,698,F15,842,69,931,148
