filename,width,height,class,xmin,ymin,xmax,ymax
80879abdc9ce21fbfa98fe5bfaeda31a,2000,1125,F18,731,518,847,564
80879abdc9ce21fbfa98fe5bfaeda31a,2000,1125,F18,883,517,990,563
80879abdc9ce21fbfa98fe5bfaeda31a,2000,1125,F18,1014,517,1128,564
80879abdc9ce21fbfa98fe5bfaeda31a,2000,1125,F18,1191,521,1305,566
80879abdc9ce21fbfa98fe5bfaeda31a,2000,1125,F18,1273,539,1435,609
80879abdc9ce21fbfa98fe5bfaeda31a,2000,1125,F18,1026,538,1186,604
80879abdc9ce21fbfa98fe5bfaeda31a,2000,1125,F18,821,537,983,603
80879abdc9ce21fbfa98fe5bfaeda31a,2000,1125,F18,626,538,789,606
80879abdc9ce21fbfa98fe5bfaeda31a,2000,1125,F18,483,565,711,664
80879abdc9ce21fbfa98fe5bfaeda31a,2000,1125,F18,758,563,981,658
80879abdc9ce21fbfa98fe5bfaeda31a,2000,1125,F18,1032,563,1253,659
80879abdc9ce21fbfa98fe5bfaeda31a,2000,1125,F18,1373,571,1600,667
80879abdc9ce21fbfa98fe5bfaeda31a,2000,1125,F18,220,624,566,777
80879abdc9ce21fbfa98fe5bfaeda31a,2000,1125,F18,632,618,962,770
80879abdc9ce21fbfa98fe5bfaeda31a,2000,1125,F18,1054,620,1387,769
80879abdc9ce21fbfa98fe5bfaeda31a,2000,1125,F18,1556,629,1918,782
