filename,width,height,class,xmin,ymin,xmax,ymax
816f11575dca432ae0a4dbbb834b34c5,1280,720,F15,25,560,275,713
816f11575dca432ae0a4dbbb834b34c5,1280,720,F15,122,153,323,208
816f11575dca432ae0a4dbbb834b34c5,1280,720,F15,831,32,1208,281
816f11575dca432ae0a4dbbb834b34c5,1280,720,F15,936,452,988,526
816f11575dca432ae0a4dbbb834b34c5,1280,720,F16,278,112,420,176
816f11575dca432ae0a4dbbb834b34c5,1280,720,F16,336,103,494,162
816f11575dca432ae0a4dbbb834b34c5,1280,720,F16,296,368,494,503
816f11575dca432ae0a4dbbb834b34c5,1280,720,F16,414,546,610,675
816f11575dca432ae0a4dbbb834b34c5,1280,720,F16,704,536,742,590
816f11575dca432ae0a4dbbb834b34c5,1280,720,F16,1233,528,1272,583
