filename,width,height,class,xmin,ymin,xmax,ymax
858106b51cda8dcfb2754d539f62e2f8,2048,1366,F22,158,942,844,1198
858106b51cda8dcfb2754d539f62e2f8,2048,1366,F22,1305,876,1964,1114
858106b51cda8dcfb2754d539f62e2f8,2048,1366,F35,1527,711,2048,878
858106b51cda8dcfb2754d539f62e2f8,2048,1366,F35,788,745,1366,923
858106b51cda8dcfb2754d539f62e2f8,2048,1366,F35,1,786,475,976
858106b51cda8dcfb2754d539f62e2f8,2048,1366,F35,331,665,641,786
858106b51cda8dcfb2754d539f62e2f8,2048,1366,F35,915,640,1216,760
858106b51cda8dcfb2754d539f62e2f8,2048,1366,F35,1466,615,1766,730
858106b51cda8dcfb2754d539f62e2f8,2048,1366,F18,1919,530,2048,625
858106b51cda8dcfb2754d539f62e2f8,2048,1366,F18,1390,541,1785,652
858106b51cda8dcfb2754d539f62e2f8,2048,1366,F18,958,556,1353,673
858106b51cda8dcfb2754d539f62e2f8,2048,1366,F18,466,572,869,692
858106b51cda8dcfb2754d539f62e2f8,2048,1366,F18,1,591,363,713
858106b51cda8dcfb2754d539f62e2f8,2048,1366,C130,1,317,125,396
858106b51cda8dcfb2754d539f62e2f8,2048,1366,C130,654,308,979,425
858106b51cda8dcfb2754d539f62e2f8,2048,1366,C130,897,309,1272,437
