filename,width,height,class,xmin,ymin,xmax,ymax
87b0a668bede7af9da3ddd84cfee51c8,1989,2353,F18,994,1397,1262,1527
87b0a668bede7af9da3ddd84cfee51c8,1989,2353,F18,1013,1303,1274,1419
87b0a668bede7af9da3ddd84cfee51c8,1989,2353,F18,1025,1256,1331,1356
87b0a668bede7af9da3ddd84cfee51c8,1989,2353,F18,901,1058,1141,1133
87b0a668bede7af9da3ddd84cfee51c8,1989,2353,F18,935,1098,1220,1189
87b0a668bede7af9da3ddd84cfee51c8,1989,2353,E2,940,989,1141,1091
87b0a668bede7af9da3ddd84cfee51c8,1989,2353,F18,793,916,1070,997
87b0a668bede7af9da3ddd84cfee51c8,1989,2353,F18,891,901,1152,970
87b0a668bede7af9da3ddd84cfee51c8,1989,2353,F18,880,879,1144,942
87b0a668bede7af9da3ddd84cfee51c8,1989,2353,F18,733,877,952,947
87b0a668bede7af9da3ddd84cfee51c8,1989,2353,E2,697,836,941,907
87b0a668bede7af9da3ddd84cfee51c8,1989,2353,F18,730,784,829,822
87b0a668bede7af9da3ddd84cfee51c8,1989,2353,F18,733,772,848,812
87b0a668bede7af9da3ddd84cfee51c8,1989,2353,E2,734,789,860,847
87b0a668bede7af9da3ddd84cfee51c8,1989,2353,F18,740,743,842,784
87b0a668bede7af9da3ddd84cfee51c8,1989,2353,F18,771,757,934,818
87b0a668bede7af9da3ddd84cfee51c8,1989,2353,F18,811,724,917,781
87b0a668bede7af9da3ddd84cfee51c8,1989,2353,F18,926,727,1037,789
87b0a668bede7af9da3ddd84cfee51c8,1989,2353,F18,1046,727,1154,791
87b0a668bede7af9da3ddd84cfee51c8,1989,2353,F18,1156,744,1301,803
87b0a668bede7af9da3ddd84cfee51c8,1989,2353,F18,1158,728,1271,771
87b0a668bede7af9da3ddd84cfee51c8,1989,2353,F18,1089,761,1234,821
87b0a668bede7af9da3ddd84cfee51c8,1989,2353,F18,1294,774,1476,820
87b0a668bede7af9da3ddd84cfee51c8,1989,2353,F18,1247,779,1449,843
87b0a668bede7af9da3ddd84cfee51c8,1989,2353,F18,1343,799,1557,840
87b0a668bede7af9da3ddd84cfee51c8,1989,2353,F18,1345,809,1566,865
87b0a668bede7af9da3ddd84cfee51c8,1989,2353,F18,1277,830,1518,894
87b0a668bede7af9da3ddd84cfee51c8,1989,2353,F18,471,869,698,923
87b0a668bede7af9da3ddd84cfee51c8,1989,2353,F18,441,887,691,939
87b0a668bede7af9da3ddd84cfee51c8,1989,2353,F18,496,902,735,973
87b0a668bede7af9da3ddd84cfee51c8,1989,2353,F18,405,919,652,985
87b0a668bede7af9da3ddd84cfee51c8,1989,2353,F18,325,941,620,1007
87b0a668bede7af9da3ddd84cfee51c8,1989,2353,F18,347,974,612,1042
87b0a668bede7af9da3ddd84cfee51c8,1989,2353,F18,258,1005,573,1100
