filename,width,height,class,xmin,ymin,xmax,ymax
8881a44c307abf1326aca0104f65ef08,1280,698,Mirage2000,220,334,252,383
8881a44c307abf1326aca0104f65ef08,1280,698,Mirage2000,267,332,301,379
8881a44c307abf1326aca0104f65ef08,1280,698,Mirage2000,316,330,350,374
8881a44c307abf1326aca0104f65ef08,1280,698,Mirage2000,385,328,417,371
8881a44c307abf1326aca0104f65ef08,1280,698,Mirage2000,434,327,465,370
8881a44c307abf1326aca0104f65ef08,1280,698,Mirage2000,480,326,513,368
8881a44c307abf1326aca0104f65ef08,1280,698,Mirage2000,549,324,580,367
8881a44c307abf1326aca0104f65ef08,1280,698,Mirage2000,597,322,628,366
8881a44c307abf1326aca0104f65ef08,1280,698,Mirage2000,647,323,679,365
8881a44c307abf1326aca0104f65ef08,1280,698,Mirage2000,695,323,728,365
