filename,width,height,class,xmin,ymin,xmax,ymax
8f67b81f85e591db607bd99f2527752a,3600,2100,F15,546,1169,844,1317
8f67b81f85e591db607bd99f2527752a,3600,2100,F15,929,1169,1227,1303
8f67b81f85e591db607bd99f2527752a,3600,2100,F15,1309,1162,1609,1301
8f67b81f85e591db607bd99f2527752a,3600,2100,F15,1664,1160,1965,1296
8f67b81f85e591db607bd99f2527752a,3600,2100,F15,2044,1156,2345,1293
8f67b81f85e591db607bd99f2527752a,3600,2100,F15,2411,1150,2710,1298
8f67b81f85e591db607bd99f2527752a,3600,2100,F15,2790,1147,3088,1287
8f67b81f85e591db607bd99f2527752a,3600,2100,F15,3155,1142,3450,1278
8f67b81f85e591db607bd99f2527752a,3600,2100,F15,3041,807,3308,987
8f67b81f85e591db607bd99f2527752a,3600,2100,F15,2709,809,2977,988
8f67b81f85e591db607bd99f2527752a,3600,2100,F15,2367,818,2637,998
8f67b81f85e591db607bd99f2527752a,3600,2100,F15,2053,819,2322,999
8f67b81f85e591db607bd99f2527752a,3600,2100,F15,1732,824,2000,1002
8f67b81f85e591db607bd99f2527752a,3600,2100,F15,1383,824,1650,1004
8f67b81f85e591db607bd99f2527752a,3600,2100,F15,1073,830,1340,1009
8f67b81f85e591db607bd99f2527752a,3600,2100,F15,734,834,1000,1013
8f67b81f85e591db607bd99f2527752a,3600,2100,F15,408,839,670,1016
8f67b81f85e591db607bd99f2527752a,3600,2100,F15,65,850,325,1028
