filename,width,height,class,xmin,ymin,xmax,ymax
99293073819af080b287003c026cad08,1594,1944,F117,853,1791,949,1822
99293073819af080b287003c026cad08,1594,1944,F117,734,1768,830,1799
99293073819af080b287003c026cad08,1594,1944,F117,616,1742,713,1771
99293073819af080b287003c026cad08,1594,1944,F117,501,1786,598,1816
99293073819af080b287003c026cad08,1594,1944,F117,349,1839,444,1873
99293073819af080b287003c026cad08,1594,1944,F117,1012,1358,1114,1393
99293073819af080b287003c026cad08,1594,1944,F117,847,1350,950,1384
99293073819af080b287003c026cad08,1594,1944,F117,734,1329,837,1367
99293073819af080b287003c026cad08,1594,1944,F117,593,1372,696,1407
99293073819af080b287003c026cad08,1594,1944,F117,435,1419,537,1455
99293073819af080b287003c026cad08,1594,1944,F117,1072,1052,1180,1096
99293073819af080b287003c026cad08,1594,1944,F117,912,1020,1021,1061
99293073819af080b287003c026cad08,1594,1944,F117,784,993,895,1033
99293073819af080b287003c026cad08,1594,1944,F117,633,1042,743,1081
99293073819af080b287003c026cad08,1594,1944,F117,516,1094,626,1136
99293073819af080b287003c026cad08,1594,1944,F117,1119,669,1235,708
99293073819af080b287003c026cad08,1594,1944,F117,942,650,1058,689
99293073819af080b287003c026cad08,1594,1944,F117,826,626,942,668
99293073819af080b287003c026cad08,1594,1944,F117,705,670,821,711
99293073819af080b287003c026cad08,1594,1944,F117,545,703,660,740
99293073819af080b287003c026cad08,1594,1944,F117,1299,150,1425,198
99293073819af080b287003c026cad08,1594,1944,F117,1043,123,1170,168
99293073819af080b287003c026cad08,1594,1944,F117,894,80,1020,128
99293073819af080b287003c026cad08,1594,1944,F117,706,147,832,193
99293073819af080b287003c026cad08,1594,1944,F117,547,202,672,248
