filename,width,height,class,xmin,ymin,xmax,ymax
9c04fc208dc89f674e4cfc7c30fb5092,2397,1627,F35,354,1118,440,1208
9c04fc208dc89f674e4cfc7c30fb5092,2397,1627,F35,467,990,557,1074
9c04fc208dc89f674e4cfc7c30fb5092,2397,1627,F35,1228,1185,1327,1276
9c04fc208dc89f674e4cfc7c30fb5092,2397,1627,F35,760,659,852,747
9c04fc208dc89f674e4cfc7c30fb5092,2397,1627,F35,876,523,971,611
9c04fc208dc89f674e4cfc7c30fb5092,2397,1627,F35,1607,741,1708,827
9c04fc208dc89f674e4cfc7c30fb5092,2397,1627,F35,2050,410,2148,498
9c04fc208dc89f674e4cfc7c30fb5092,2397,1627,F35,2121,310,2222,401
9c04fc208dc89f674e4cfc7c30fb5092,2397,1627,F35,1245,196,1336,282
9c04fc208dc89f674e4cfc7c30fb5092,2397,1627,F35,1309,82,1401,171
