filename,width,height,class,xmin,ymin,xmax,ymax
9f78b3728413df6c6f61f5029e2de580,3000,2400,F14,211,1828,354,1928
9f78b3728413df6c6f61f5029e2de580,3000,2400,F14,599,1746,739,1845
9f78b3728413df6c6f61f5029e2de580,3000,2400,F14,555,1635,691,1737
9f78b3728413df6c6f61f5029e2de580,3000,2400,F14,1245,1508,1388,1605
9f78b3728413df6c6f61f5029e2de580,3000,2400,F14,1238,1370,1375,1459
9f78b3728413df6c6f61f5029e2de580,3000,2400,F14,1487,1414,1631,1511
9f78b3728413df6c6f61f5029e2de580,3000,2400,F14,1396,1252,1533,1336
9f78b3728413df6c6f61f5029e2de580,3000,2400,F14,1255,976,1368,1040
9f78b3728413df6c6f61f5029e2de580,3000,2400,F14,1345,1019,1466,1089
9f78b3728413df6c6f61f5029e2de580,3000,2400,F14,1444,892,1563,952
9f78b3728413df6c6f61f5029e2de580,3000,2400,F14,1520,965,1642,1029
9f78b3728413df6c6f61f5029e2de580,3000,2400,F14,2259,1216,2403,1302
9f78b3728413df6c6f61f5029e2de580,3000,2400,F14,2256,1102,2392,1183
9f78b3728413df6c6f61f5029e2de580,3000,2400,F14,2526,1105,2670,1189
9f78b3728413df6c6f61f5029e2de580,3000,2400,F14,2421,988,2559,1069
9f78b3728413df6c6f61f5029e2de580,3000,2400,F14,1989,836,2114,907
9f78b3728413df6c6f61f5029e2de580,3000,2400,F14,1897,762,2012,829
9f78b3728413df6c6f61f5029e2de580,3000,2400,F14,2234,753,2358,820
9f78b3728413df6c6f61f5029e2de580,3000,2400,F14,2065,608,2181,669
9f78b3728413df6c6f61f5029e2de580,3000,2400,F14,1749,475,1853,529
9f78b3728413df6c6f61f5029e2de580,3000,2400,F14,1960,401,2064,455
9f78b3728413df6c6f61f5029e2de580,3000,2400,F14,1869,329,1968,381
