filename,width,height,class,xmin,ymin,xmax,ymax
a542747404a68cd8b14654594a44189f,6000,4000,F22,1,2520,236,2664
a542747404a68cd8b14654594a44189f,6000,4000,F22,83,2552,478,2703
a542747404a68cd8b14654594a44189f,6000,4000,F22,131,2581,521,2743
a542747404a68cd8b14654594a44189f,6000,4000,F22,352,2603,774,2762
a542747404a68cd8b14654594a44189f,6000,4000,F22,428,2630,881,2799
a542747404a68cd8b14654594a44189f,6000,4000,F22,1098,2654,1553,2828
a542747404a68cd8b14654594a44189f,6000,4000,F22,2007,2704,2486,2888
a542747404a68cd8b14654594a44189f,6000,4000,F22,2797,1887,3375,2059
a542747404a68cd8b14654594a44189f,6000,4000,F22,3209,2749,3709,2939
a542747404a68cd8b14654594a44189f,6000,4000,F22,4261,2809,4801,3010
a542747404a68cd8b14654594a44189f,6000,4000,F22,5395,2867,5969,3082
