filename,width,height,class,xmin,ymin,xmax,ymax
a77fa9ac106a20cf376ab6ceab4ee926,2048,1497,Tornado,967,351,1201,501
a77fa9ac106a20cf376ab6ceab4ee926,2048,1497,Tornado,763,490,991,627
a77fa9ac106a20cf376ab6ceab4ee926,2048,1497,Tornado,1187,479,1418,620
a77fa9ac106a20cf376ab6ceab4ee926,2048,1497,Tornado,1429,579,1659,711
a77fa9ac106a20cf376ab6ceab4ee926,2048,1497,Tornado,1002,658,1225,787
a77fa9ac106a20cf376ab6ceab4ee926,2048,1497,Tornado,555,633,776,764
a77fa9ac106a20cf376ab6ceab4ee926,2048,1497,Tornado,592,919,803,1040
a77fa9ac106a20cf376ab6ceab4ee926,2048,1497,Tornado,815,787,1031,909
a77fa9ac106a20cf376ab6ceab4ee926,2048,1497,Tornado,1212,776,1431,899
a77fa9ac106a20cf376ab6ceab4ee926,2048,1497,Tornado,1457,923,1676,1037
