filename,width,height,class,xmin,ymin,xmax,ymax
aee989e983650b4a8e14b69927531240,2409,1681,B1,1162,684,1284,822
aee989e983650b4a8e14b69927531240,2409,1681,B1,1030,805,1155,937
aee989e983650b4a8e14b69927531240,2409,1681,B1,764,1045,886,1180
aee989e983650b4a8e14b69927531240,2409,1681,B1,633,1162,755,1296
aee989e983650b4a8e14b69927531240,2409,1681,B1,1363,1518,1486,1650
aee989e983650b4a8e14b69927531240,2409,1681,B1,1495,1400,1617,1530
aee989e983650b4a8e14b69927531240,2409,1681,B1,1628,1277,1750,1412
aee989e983650b4a8e14b69927531240,2409,1681,B1,1758,1161,1883,1290
aee989e983650b4a8e14b69927531240,2409,1681,B1,1889,1042,2009,1178
aee989e983650b4a8e14b69927531240,2409,1681,B1,2155,805,2277,937
aee989e983650b4a8e14b69927531240,2409,1681,B1,266,485,387,618
aee989e983650b4a8e14b69927531240,2409,1681,B1,529,246,649,381
aee989e983650b4a8e14b69927531240,2409,1681,B1,792,8,914,142
