filename,width,height,class,xmin,ymin,xmax,ymax
af94a7bc19ed54728135dbd4f58b6f30,4096,2731,E7,233,933,783,1157
af94a7bc19ed54728135dbd4f58b6f30,4096,2731,F35,719,1166,912,1256
af94a7bc19ed54728135dbd4f58b6f30,4096,2731,F35,755,1219,960,1317
af94a7bc19ed54728135dbd4f58b6f30,4096,2731,F35,1032,1148,1219,1234
af94a7bc19ed54728135dbd4f58b6f30,4096,2731,F35,1073,1197,1269,1291
af94a7bc19ed54728135dbd4f58b6f30,4096,2731,F35,1298,1312,1516,1419
af94a7bc19ed54728135dbd4f58b6f30,4096,2731,F35,1260,1351,1484,1461
af94a7bc19ed54728135dbd4f58b6f30,4096,2731,F35,1661,1291,1870,1394
af94a7bc19ed54728135dbd4f58b6f30,4096,2731,F35,1605,1323,1824,1430
af94a7bc19ed54728135dbd4f58b6f30,4096,2731,F35,2332,1446,2580,1566
af94a7bc19ed54728135dbd4f58b6f30,4096,2731,F35,2290,1488,2541,1612
af94a7bc19ed54728135dbd4f58b6f30,4096,2731,F35,1939,1473,2193,1591
af94a7bc19ed54728135dbd4f58b6f30,4096,2731,F35,1902,1519,2157,1648
af94a7bc19ed54728135dbd4f58b6f30,4096,2731,F35,3187,1644,3465,1757
af94a7bc19ed54728135dbd4f58b6f30,4096,2731,F35,3177,1698,3465,1847
af94a7bc19ed54728135dbd4f58b6f30,4096,2731,F35,2757,1680,3048,1809
af94a7bc19ed54728135dbd4f58b6f30,4096,2731,F35,2756,1747,3054,1900
