filename,width,height,class,xmin,ymin,xmax,ymax
b0aa6f15e9602b69a098c34a46443142,2734,4096,Mirage2000,1267,2868,1460,3185
b0aa6f15e9602b69a098c34a46443142,2734,4096,Mirage2000,1277,2254,1474,2570
b0aa6f15e9602b69a098c34a46443142,2734,4096,Mirage2000,197,2059,399,2373
b0aa6f15e9602b69a098c34a46443142,2734,4096,Mirage2000,665,1591,865,1902
b0aa6f15e9602b69a098c34a46443142,2734,4096,Mirage2000,1273,1625,1472,1936
b0aa6f15e9602b69a098c34a46443142,2734,4096,Mirage2000,2333,1977,2527,2282
b0aa6f15e9602b69a098c34a46443142,2734,4096,Mirage2000,2039,1741,2238,2052
b0aa6f15e9602b69a098c34a46443142,2734,4096,Mirage2000,1631,1308,1832,1620
b0aa6f15e9602b69a098c34a46443142,2734,4096,Mirage2000,970,1289,1171,1600
b0aa6f15e9602b69a098c34a46443142,2734,4096,Mirage2000,1279,926,1480,1241
