filename,width,height,class,xmin,ymin,xmax,ymax
b2a4509f7c1390eecfb8ea85310f5190,1200,675,Tornado,79,360,154,387
b2a4509f7c1390eecfb8ea85310f5190,1200,675,AV8B,125,348,179,367
b2a4509f7c1390eecfb8ea85310f5190,1200,675,EF2000,164,322,229,347
b2a4509f7c1390eecfb8ea85310f5190,1200,675,F18,203,304,276,328
b2a4509f7c1390eecfb8ea85310f5190,1200,675,JAS39,236,284,291,306
b2a4509f7c1390eecfb8ea85310f5190,1200,675,A400M,322,224,569,296
b2a4509f7c1390eecfb8ea85310f5190,1200,675,JAS39,590,269,648,292
b2a4509f7c1390eecfb8ea85310f5190,1200,675,F18,701,289,777,313
b2a4509f7c1390eecfb8ea85310f5190,1200,675,EF2000,823,295,891,321
b2a4509f7c1390eecfb8ea85310f5190,1200,675,AV8B,951,320,1008,340
b2a4509f7c1390eecfb8ea85310f5190,1200,675,Tornado,1065,332,1146,360
