filename,width,height,class,xmin,ymin,xmax,ymax
b5cff83db432b94105e25534610ebb27,1800,1200,C130,72,609,1169,995
b5cff83db432b94105e25534610ebb27,1800,1200,C130,703,553,1693,900
b5cff83db432b94105e25534610ebb27,1800,1200,C130,337,498,1209,790
b5cff83db432b94105e25534610ebb27,1800,1200,C130,869,454,1689,722
b5cff83db432b94105e25534610ebb27,1800,1200,C130,527,416,1268,649
b5cff83db432b94105e25534610ebb27,1800,1200,C130,984,384,1680,595
b5cff83db432b94105e25534610ebb27,1800,1200,C130,689,352,1329,559
b5cff83db432b94105e25534610ebb27,1800,1200,C130,1079,323,1670,517
b5cff83db432b94105e25534610ebb27,1800,1200,C130,800,301,1348,473
b5cff83db432b94105e25534610ebb27,1800,1200,C130,1152,276,1666,437
