filename,width,height,class,xmin,ymin,xmax,ymax
b5ef15a25d02fa8a4319f9f202b498e4,4096,2734,Mirage2000,1283,486,1884,781
b5ef15a25d02fa8a4319f9f202b498e4,4096,2734,Mirage2000,1038,836,1499,1044
b5ef15a25d02fa8a4319f9f202b498e4,4096,2734,Mirage2000,963,1015,1359,1190
b5ef15a25d02fa8a4319f9f202b498e4,4096,2734,Mirage2000,931,1170,1270,1313
b5ef15a25d02fa8a4319f9f202b498e4,4096,2734,Mirage2000,1513,1368,1928,1535
b5ef15a25d02fa8a4319f9f202b498e4,4096,2734,Mirage2000,1503,1520,1854,1651
b5ef15a25d02fa8a4319f9f202b498e4,4096,2734,Mirage2000,2123,1669,2631,1848
b5ef15a25d02fa8a4319f9f202b498e4,4096,2734,Mirage2000,2039,1840,2402,1972
b5ef15a25d02fa8a4319f9f202b498e4,4096,2734,Mirage2000,2440,2098,2806,2222
b5ef15a25d02fa8a4319f9f202b498e4,4096,2734,Mirage2000,2976,1979,3584,2170
