filename,width,height,class,xmin,ymin,xmax,ymax
b7436f69e882c7740ccd981b31ebe702,6720,4480,B52,4728,1016,5865,1434
b7436f69e882c7740ccd981b31ebe702,6720,4480,F18,4170,2877,4695,3045
b7436f69e882c7740ccd981b31ebe702,6720,4480,F18,3823,3472,4372,3659
b7436f69e882c7740ccd981b31ebe702,6720,4480,F18,4544,2250,5041,2413
b7436f69e882c7740ccd981b31ebe702,6720,4480,F18,3593,2335,4073,2498
b7436f69e882c7740ccd981b31ebe702,6720,4480,F18,3033,737,3456,874
b7436f69e882c7740ccd981b31ebe702,6720,4480,F18,2807,1078,3241,1223
b7436f69e882c7740ccd981b31ebe702,6720,4480,F18,2115,817,2526,949
b7436f69e882c7740ccd981b31ebe702,6720,4480,F18,1159,847,1563,979
b7436f69e882c7740ccd981b31ebe702,6720,4480,F18,1531,1568,1960,1718
b7436f69e882c7740ccd981b31ebe702,6720,4480,E2,821,1657,1313,1898
