filename,width,height,class,xmin,ymin,xmax,ymax
b80a2ec316c6df7c51a28c515dee2bc7,1280,627,F18,1116,394,1226,471
b80a2ec316c6df7c51a28c515dee2bc7,1280,627,F18,1083,215,1185,277
b80a2ec316c6df7c51a28c515dee2bc7,1280,627,F18,1054,58,1146,113
b80a2ec316c6df7c51a28c515dee2bc7,1280,627,F18,752,405,864,461
b80a2ec316c6df7c51a28c515dee2bc7,1280,627,Rafale,458,504,563,574
b80a2ec316c6df7c51a28c515dee2bc7,1280,627,Rafale,465,400,568,467
b80a2ec316c6df7c51a28c515dee2bc7,1280,627,Rafale,471,305,571,365
b80a2ec316c6df7c51a28c515dee2bc7,1280,627,Rafale,478,217,572,273
b80a2ec316c6df7c51a28c515dee2bc7,1280,627,Rafale,489,135,578,188
b80a2ec316c6df7c51a28c515dee2bc7,1280,627,Rafale,94,502,193,573
b80a2ec316c6df7c51a28c515dee2bc7,1280,627,Rafale,133,305,230,365
b80a2ec316c6df7c51a28c515dee2bc7,1280,627,Rafale,157,217,245,274
b80a2ec316c6df7c51a28c515dee2bc7,1280,627,Rafale,189,59,274,109
