filename,width,height,class,xmin,ymin,xmax,ymax
b863b4463a9048503b3d75d2d21e3467,1088,773,F15,13,489,382,635
b863b4463a9048503b3d75d2d21e3467,1088,773,F15,354,551,741,703
b863b4463a9048503b3d75d2d21e3467,1088,773,F15,694,503,1068,659
b863b4463a9048503b3d75d2d21e3467,1088,773,F15,820,199,1088,320
b863b4463a9048503b3d75d2d21e3467,1088,773,F15,552,213,845,337
b863b4463a9048503b3d75d2d21e3467,1088,773,F15,286,191,572,306
b863b4463a9048503b3d75d2d21e3467,1088,773,F15,1,182,206,306
b863b4463a9048503b3d75d2d21e3467,1088,773,F15,892,17,1088,116
b863b4463a9048503b3d75d2d21e3467,1088,773,F15,669,26,907,127
b863b4463a9048503b3d75d2d21e3467,1088,773,F15,463,8,697,105
b863b4463a9048503b3d75d2d21e3467,1088,773,F15,162,2,397,104
