filename,width,height,class,xmin,ymin,xmax,ymax
c1f2e31bfc8a5750d08bae15e9a56e83,1024,420,SR71,1,137,420,338
c1f2e31bfc8a5750d08bae15e9a56e83,1024,420,SR71,345,133,658,341
c1f2e31bfc8a5750d08bae15e9a56e83,1024,420,SR71,573,127,1024,334
c1f2e31bfc8a5750d08bae15e9a56e83,1024,420,SR71,520,74,963,165
c1f2e31bfc8a5750d08bae15e9a56e83,1024,420,SR71,31,79,477,166
c1f2e31bfc8a5750d08bae15e9a56e83,1024,420,SR71,87,38,240,107
c1f2e31bfc8a5750d08bae15e9a56e83,1024,420,SR71,259,33,412,104
c1f2e31bfc8a5750d08bae15e9a56e83,1024,420,SR71,373,16,608,62
c1f2e31bfc8a5750d08bae15e9a56e83,1024,420,SR71,422,32,568,100
c1f2e31bfc8a5750d08bae15e9a56e83,1024,420,SR71,591,30,738,98
c1f2e31bfc8a5750d08bae15e9a56e83,1024,420,SR71,750,27,901,95
