filename,width,height,class,xmin,ymin,xmax,ymax
c687570d14ce0cedde5a26b2470ffd6f,2863,1666,F15,2384,1435,2489,1504
c687570d14ce0cedde5a26b2470ffd6f,2863,1666,F15,2387,1310,2493,1378
c687570d14ce0cedde5a26b2470ffd6f,2863,1666,F15,2386,1181,2488,1253
c687570d14ce0cedde5a26b2470ffd6f,2863,1666,F15,2390,1055,2493,1126
c687570d14ce0cedde5a26b2470ffd6f,2863,1666,F15,2381,926,2488,996
c687570d14ce0cedde5a26b2470ffd6f,2863,1666,F15,2386,799,2489,868
c687570d14ce0cedde5a26b2470ffd6f,2863,1666,F15,2388,673,2489,743
c687570d14ce0cedde5a26b2470ffd6f,2863,1666,F15,2388,547,2490,616
c687570d14ce0cedde5a26b2470ffd6f,2863,1666,F15,2390,418,2489,487
c687570d14ce0cedde5a26b2470ffd6f,2863,1666,F15,2388,166,2495,236
