filename,width,height,class,xmin,ymin,xmax,ymax
c929cf666bf16c53ecfd2ebee4a3cfd0,1024,647,C130,940,496,1024,578
c929cf666bf16c53ecfd2ebee4a3cfd0,1024,647,C130,624,526,786,630
c929cf666bf16c53ecfd2ebee4a3cfd0,1024,647,C130,474,475,603,564
c929cf666bf16c53ecfd2ebee4a3cfd0,1024,647,C130,354,436,464,514
c929cf666bf16c53ecfd2ebee4a3cfd0,1024,647,C130,1,423,90,479
c929cf666bf16c53ecfd2ebee4a3cfd0,1024,647,C130,143,302,233,337
c929cf666bf16c53ecfd2ebee4a3cfd0,1024,647,C130,41,333,120,386
c929cf666bf16c53ecfd2ebee4a3cfd0,1024,647,C130,102,353,185,411
c929cf666bf16c53ecfd2ebee4a3cfd0,1024,647,C130,175,376,263,440
c929cf666bf16c53ecfd2ebee4a3cfd0,1024,647,C130,258,403,355,472
