filename,width,height,class,xmin,ymin,xmax,ymax
c9e79f0af9ae86b5419df38a72a8ef05,1000,999,Vulcan,59,71,591,450
c9e79f0af9ae86b5419df38a72a8ef05,1000,999,Vulcan,651,136,881,207
c9e79f0af9ae86b5419df38a72a8ef05,1000,999,Vulcan,646,439,887,501
c9e79f0af9ae86b5419df38a72a8ef05,1000,999,Vulcan,656,572,878,762
c9e79f0af9ae86b5419df38a72a8ef05,1000,999,Vulcan,444,631,536,681
c9e79f0af9ae86b5419df38a72a8ef05,1000,999,Vulcan,478,699,548,759
c9e79f0af9ae86b5419df38a72a8ef05,1000,999,Vulcan,495,779,578,829
c9e79f0af9ae86b5419df38a72a8ef05,1000,999,Vulcan,513,862,599,902
c9e79f0af9ae86b5419df38a72a8ef05,1000,999,Vulcan,401,883,469,943
c9e79f0af9ae86b5419df38a72a8ef05,1000,999,Vulcan,377,823,464,866
c9e79f0af9ae86b5419df38a72a8ef05,1000,999,Vulcan,352,726,445,799
c9e79f0af9ae86b5419df38a72a8ef05,1000,999,Vulcan,328,647,414,701
c9e79f0af9ae86b5419df38a72a8ef05,1000,999,Vulcan,230,686,299,762
c9e79f0af9ae86b5419df38a72a8ef05,1000,999,Vulcan,250,761,324,834
c9e79f0af9ae86b5419df38a72a8ef05,1000,999,Vulcan,257,853,349,884
c9e79f0af9ae86b5419df38a72a8ef05,1000,999,Vulcan,290,916,344,957
c9e79f0af9ae86b5419df38a72a8ef05,1000,999,Vulcan,117,864,222,916
c9e79f0af9ae86b5419df38a72a8ef05,1000,999,Vulcan,76,768,136,797
c9e79f0af9ae86b5419df38a72a8ef05,1000,999,Vulcan,135,754,188,771
c9e79f0af9ae86b5419df38a72a8ef05,1000,999,Vulcan,48,689,174,745
