filename,width,height,class,xmin,ymin,xmax,ymax
d8f23a1666e5d82b93d90440175c9539,1000,714,F18,212,78,448,136
d8f23a1666e5d82b93d90440175c9539,1000,714,F18,213,172,464,236
d8f23a1666e5d82b93d90440175c9539,1000,714,F18,212,277,486,350
d8f23a1666e5d82b93d90440175c9539,1000,714,F18,454,240,709,301
d8f23a1666e5d82b93d90440175c9539,1000,714,F18,426,143,659,201
d8f23a1666e5d82b93d90440175c9539,1000,714,F18,640,223,873,281
d8f23a1666e5d82b93d90440175c9539,1000,714,F16,558,533,642,562
d8f23a1666e5d82b93d90440175c9539,1000,714,F16,626,519,701,548
d8f23a1666e5d82b93d90440175c9539,1000,714,F16,546,508,632,536
d8f23a1666e5d82b93d90440175c9539,1000,714,F16,540,475,620,505
d8f23a1666e5d82b93d90440175c9539,1000,714,F16,614,481,693,510
d8f23a1666e5d82b93d90440175c9539,1000,714,F16,680,489,765,518
