filename,width,height,class,xmin,ymin,xmax,ymax
da0254aeb347f1ba859f536a66c38620,1379,2498,F22,913,2266,1050,2484
da0254aeb347f1ba859f536a66c38620,1379,2498,F22,737,1986,889,2181
da0254aeb347f1ba859f536a66c38620,1379,2498,F22,509,1996,765,2141
da0254aeb347f1ba859f536a66c38620,1379,2498,F22,729,1605,973,1743
da0254aeb347f1ba859f536a66c38620,1379,2498,F22,507,1561,694,1721
da0254aeb347f1ba859f536a66c38620,1379,2498,F22,331,1209,554,1374
da0254aeb347f1ba859f536a66c38620,1379,2498,F22,225,901,474,1067
da0254aeb347f1ba859f536a66c38620,1379,2498,F22,152,601,419,772
da0254aeb347f1ba859f536a66c38620,1379,2498,F22,172,247,459,413
da0254aeb347f1ba859f536a66c38620,1379,2498,F22,398,87,601,321
da0254aeb347f1ba859f536a66c38620,1379,2498,F22,656,157,749,389
da0254aeb347f1ba859f536a66c38620,1379,2498,F22,796,461,939,627
da0254aeb347f1ba859f536a66c38620,1379,2498,F22,828,797,1044,944
