filename,width,height,class,xmin,ymin,xmax,ymax
dcd423145fc788fb394b4f9545a6a49d,1200,853,A400M,113,463,240,574
dcd423145fc788fb394b4f9545a6a49d,1200,853,A400M,77,283,276,382
dcd423145fc788fb394b4f9545a6a49d,1200,853,A400M,162,61,200,184
dcd423145fc788fb394b4f9545a6a49d,1200,853,A400M,381,471,547,573
dcd423145fc788fb394b4f9545a6a49d,1200,853,A400M,401,257,522,385
dcd423145fc788fb394b4f9545a6a49d,1200,853,A400M,393,68,538,184
dcd423145fc788fb394b4f9545a6a49d,1200,853,A400M,650,463,841,557
dcd423145fc788fb394b4f9545a6a49d,1200,853,A400M,660,273,819,353
dcd423145fc788fb394b4f9545a6a49d,1200,853,A400M,630,77,834,146
dcd423145fc788fb394b4f9545a6a49d,1200,853,A400M,913,458,1124,536
dcd423145fc788fb394b4f9545a6a49d,1200,853,A400M,933,269,1082,383
dcd423145fc788fb394b4f9545a6a49d,1200,853,A400M,942,70,1068,181
