filename,width,height,class,xmin,ymin,xmax,ymax
deb619ef496694e0a3627b42cb0f11b4,6143,4095,J10,1400,94,1690,543
deb619ef496694e0a3627b42cb0f11b4,6143,4095,J10,2147,307,2436,743
deb619ef496694e0a3627b42cb0f11b4,6143,4095,J10,2872,485,3154,910
deb619ef496694e0a3627b42cb0f11b4,6143,4095,J10,2326,1417,2608,1831
deb619ef496694e0a3627b42cb0f11b4,6143,4095,J10,1825,2313,2105,2717
deb619ef496694e0a3627b42cb0f11b4,6143,4095,J10,1254,3257,1530,3649
deb619ef496694e0a3627b42cb0f11b4,6143,4095,J10,4791,1158,5062,1547
deb619ef496694e0a3627b42cb0f11b4,6143,4095,J10,4395,1955,4666,2335
deb619ef496694e0a3627b42cb0f11b4,6143,4095,J10,4015,2761,4282,3130
deb619ef496694e0a3627b42cb0f11b4,6143,4095,J10,3600,3642,3864,4003
