filename,width,height,class,xmin,ymin,xmax,ymax
e124cd2c26080b8a51afdd5fc8fcb9b1,4096,2733,E7,1197,330,1675,692
e124cd2c26080b8a51afdd5fc8fcb9b1,4096,2733,F22,1744,1170,1932,1371
e124cd2c26080b8a51afdd5fc8fcb9b1,4096,2733,F35,2118,1293,2270,1448
e124cd2c26080b8a51afdd5fc8fcb9b1,4096,2733,F35,1544,1591,1691,1742
e124cd2c26080b8a51afdd5fc8fcb9b1,4096,2733,F18,1354,1853,1543,2019
e124cd2c26080b8a51afdd5fc8fcb9b1,4096,2733,F18,1180,2127,1365,2289
e124cd2c26080b8a51afdd5fc8fcb9b1,4096,2733,F18,1065,2318,1245,2473
e124cd2c26080b8a51afdd5fc8fcb9b1,4096,2733,F18,2449,1378,2641,1558
e124cd2c26080b8a51afdd5fc8fcb9b1,4096,2733,F18,2803,1460,2996,1639
e124cd2c26080b8a51afdd5fc8fcb9b1,4096,2733,F18,3091,1579,3280,1753
