filename,width,height,class,xmin,ymin,xmax,ymax
e1b984e3574a8f5e099ce3e3af18fa6b,2560,1600,AV8B,1047,146,1379,258
e1b984e3574a8f5e099ce3e3af18fa6b,2560,1600,AV8B,1346,239,1688,354
e1b984e3574a8f5e099ce3e3af18fa6b,2560,1600,AV8B,1706,354,2060,480
e1b984e3574a8f5e099ce3e3af18fa6b,2560,1600,AV8B,2054,419,2419,544
e1b984e3574a8f5e099ce3e3af18fa6b,2560,1600,AV8B,1776,691,2160,827
e1b984e3574a8f5e099ce3e3af18fa6b,2560,1600,AV8B,1092,466,1440,599
e1b984e3574a8f5e099ce3e3af18fa6b,2560,1600,AV8B,1418,503,1787,637
e1b984e3574a8f5e099ce3e3af18fa6b,2560,1600,AV8B,710,326,1059,446
e1b984e3574a8f5e099ce3e3af18fa6b,2560,1600,AV8B,1394,979,1801,1134
e1b984e3574a8f5e099ce3e3af18fa6b,2560,1600,AV8B,1081,786,1472,939
e1b984e3574a8f5e099ce3e3af18fa6b,2560,1600,AV8B,727,630,1102,764
e1b984e3574a8f5e099ce3e3af18fa6b,2560,1600,AV8B,422,551,821,679
e1b984e3574a8f5e099ce3e3af18fa6b,2560,1600,AV8B,1071,1266,1499,1449
e1b984e3574a8f5e099ce3e3af18fa6b,2560,1600,AV8B,735,1132,1148,1299
e1b984e3574a8f5e099ce3e3af18fa6b,2560,1600,AV8B,342,956,776,1117
e1b984e3574a8f5e099ce3e3af18fa6b,2560,1600,AV8B,122,739,541,885
