filename,width,height,class,xmin,ymin,xmax,ymax
e6c6bf182d69c6fa03aca15b06135d6d,3531,1830,Mig31,269,1539,366,1660
e6c6bf182d69c6fa03aca15b06135d6d,3531,1830,Mig31,135,1388,221,1513
e6c6bf182d69c6fa03aca15b06135d6d,3531,1830,Mig31,198,1348,292,1466
e6c6bf182d69c6fa03aca15b06135d6d,3531,1830,Mig31,294,1288,382,1412
e6c6bf182d69c6fa03aca15b06135d6d,3531,1830,Mig31,377,1238,467,1363
e6c6bf182d69c6fa03aca15b06135d6d,3531,1830,Mig31,460,1190,550,1315
e6c6bf182d69c6fa03aca15b06135d6d,3531,1830,Mig31,737,1030,837,1147
e6c6bf182d69c6fa03aca15b06135d6d,3531,1830,Mig31,841,969,938,1089
e6c6bf182d69c6fa03aca15b06135d6d,3531,1830,Mig31,926,910,1018,1038
e6c6bf182d69c6fa03aca15b06135d6d,3531,1830,Mig31,1011,845,1101,970
