filename,width,height,class,xmin,ymin,xmax,ymax
edfed41c66fa0e98919a281670a5f6be,900,600,F35,100,184,268,254
edfed41c66fa0e98919a281670a5f6be,900,600,F35,150,198,324,274
edfed41c66fa0e98919a281670a5f6be,900,600,F35,239,214,419,293
edfed41c66fa0e98919a281670a5f6be,900,600,F35,318,233,522,319
edfed41c66fa0e98919a281670a5f6be,900,600,F35,479,253,705,349
edfed41c66fa0e98919a281670a5f6be,900,600,F35,595,284,855,388
edfed41c66fa0e98919a281670a5f6be,900,600,F35,633,150,795,221
edfed41c66fa0e98919a281670a5f6be,900,600,F35,524,145,665,214
edfed41c66fa0e98919a281670a5f6be,900,600,F35,459,143,590,206
edfed41c66fa0e98919a281670a5f6be,900,600,F35,363,137,478,198
edfed41c66fa0e98919a281670a5f6be,900,600,F35,297,133,390,192
