filename,width,height,class,xmin,ymin,xmax,ymax
f5366ad48ab52f3f70176b928f79881f,3600,2100,F15,265,315,1121,568
f5366ad48ab52f3f70176b928f79881f,3600,2100,F15,247,441,1111,696
f5366ad48ab52f3f70176b928f79881f,3600,2100,F15,223,571,1110,824
f5366ad48ab52f3f70176b928f79881f,3600,2100,F15,209,695,1109,963
f5366ad48ab52f3f70176b928f79881f,3600,2100,F15,184,832,1104,1098
f5366ad48ab52f3f70176b928f79881f,3600,2100,F15,183,970,1113,1251
f5366ad48ab52f3f70176b928f79881f,3600,2100,F15,143,1116,1092,1395
f5366ad48ab52f3f70176b928f79881f,3600,2100,F15,140,1263,1105,1571
f5366ad48ab52f3f70176b928f79881f,3600,2100,F15,2233,106,3056,340
f5366ad48ab52f3f70176b928f79881f,3600,2100,F15,2315,227,3158,461
f5366ad48ab52f3f70176b928f79881f,3600,2100,F15,2329,341,3183,586
f5366ad48ab52f3f70176b928f79881f,3600,2100,F15,2344,468,3208,708
f5366ad48ab52f3f70176b928f79881f,3600,2100,F15,2384,585,3263,842
f5366ad48ab52f3f70176b928f79881f,3600,2100,F15,2379,724,3273,978
f5366ad48ab52f3f70176b928f79881f,3600,2100,F15,2400,852,3318,1107
f5366ad48ab52f3f70176b928f79881f,3600,2100,F15,2401,982,3320,1263
f5366ad48ab52f3f70176b928f79881f,3600,2100,F15,2471,1133,3413,1409
f5366ad48ab52f3f70176b928f79881f,3600,2100,F15,2469,1279,3436,1580
