filename,width,height,class,xmin,ymin,xmax,ymax
fdae14a2836a92f74f57eefe417b1ebc,2048,1096,F35,159,246,348,298
fdae14a2836a92f74f57eefe417b1ebc,2048,1096,F35,179,321,374,371
fdae14a2836a92f74f57eefe417b1ebc,2048,1096,F35,195,371,398,424
fdae14a2836a92f74f57eefe417b1ebc,2048,1096,F35,218,430,425,488
fdae14a2836a92f74f57eefe417b1ebc,2048,1096,F35,181,529,399,592
fdae14a2836a92f74f57eefe417b1ebc,2048,1096,F35,168,648,398,714
fdae14a2836a92f74f57eefe417b1ebc,2048,1096,F35,201,765,440,834
fdae14a2836a92f74f57eefe417b1ebc,2048,1096,F16,417,258,589,313
fdae14a2836a92f74f57eefe417b1ebc,2048,1096,F16,689,267,859,320
fdae14a2836a92f74f57eefe417b1ebc,2048,1096,F16,936,272,1105,322
fdae14a2836a92f74f57eefe417b1ebc,2048,1096,F16,1182,304,1351,355
fdae14a2836a92f74f57eefe417b1ebc,2048,1096,F16,1408,321,1580,374
fdae14a2836a92f74f57eefe417b1ebc,2048,1096,F16,1622,326,1791,375
fdae14a2836a92f74f57eefe417b1ebc,2048,1096,F16,1828,338,2000,388
