filename,width,height,class,xmin,ymin,xmax,ymax
0e630fae1bc0854d2ef68691ec28a016,2000,1418,F22,490,1257,739,1366
0e630fae1bc0854d2ef68691ec28a016,2000,1418,F22,650,1086,884,1179
0e630fae1bc0854d2ef68691ec28a016,2000,1418,F22,536,1002,766,1092
0e630fae1bc0854d2ef68691ec28a016,2000,1418,F22,1492,485,1684,549
0e630fae1bc0854d2ef68691ec28a016,2000,1418,F22,1164,495,1339,554
0e630fae1bc0854d2ef68691ec28a016,2000,1418,F22,1384,222,1549,272
0e630fae1bc0854d2ef68691ec28a016,2000,1418,F22,1636,318,1815,375
0e630fae1bc0854d2ef68691ec28a016,2000,1418,F22,917,151,1071,201
0e630fae1bc0854d2ef68691ec28a016,2000,1418,F22,1075,102,1224,146
0e630fae1bc0854d2ef68691ec28a016,2000,1418,F22,971,68,1115,112
